sr_no,company,typename,Inches,Cpu_brand,Cpu_name,Cpu_speed,RAM,Storage_type,Primary_Memory,Secondary_memory,Gpu_brand,Gpu_name,OS,weight,Price,Resolution_width,Resolution_height,TouchScreen
0,Apple,Ultrabook,13.3,Intel," Core i5 ",2.3,8,SSD,128,0,Intel," Iris Plus Graphics 640",Mac,1.37,71379,2560,1600,0
1,Apple,Ultrabook,13.3,Intel," Core i5 ",1.8,8,"Flash Storage",128,0,Intel," HD Graphics 6000",Mac,1.34,47896,1440,900,0
2,HP,Notebook,15.6,Intel," Core i5 7200U ",2.5,8,SSD,256,0,Intel," HD Graphics 620","No OS",1.86,30636,1920,1080,0
3,Apple,Ultrabook,15.4,Intel," Core i7 ",2.7,16,SSD,512,0,AMD," Radeon Pro 455",Mac,1.83,135195,2880,1800,0
4,Apple,Ultrabook,13.3,Intel," Core i5 ",3.1,8,SSD,256,0,Intel," Iris Plus Graphics 650",Mac,1.37,96096,2560,1600,0
5,Acer,Notebook,15.6,AMD," A9-Series 9420 ",3.0,4,HDD,500,0,AMD," Radeon R5",Windows,2.10,21312,1366,768,0
6,Apple,Ultrabook,15.4,Intel," Core i7 ",2.2,16,"Flash Storage",256,0,Intel," Iris Pro Graphics",Mac,2.04,114018,2880,1800,0
7,Apple,Ultrabook,13.3,Intel," Core i5 ",1.8,8,"Flash Storage",256,0,Intel," HD Graphics 6000",Mac,1.34,61736,1440,900,0
8,Asus,Ultrabook,14.0,Intel," Core i7 8550U ",1.8,16,SSD,512,0,Nvidia," GeForce MX150",Windows,1.30,79654,1920,1080,0
9,Acer,Ultrabook,14.0,Intel," Core i5 8250U ",1.6,8,SSD,256,0,Intel," UHD Graphics 620",Windows,1.60,41026,1920,1080,0
10,HP,Notebook,15.6,Intel," Core i5 7200U ",2.5,4,HDD,500,0,Intel," HD Graphics 620","No OS",1.86,20987,1366,768,0
11,HP,Notebook,15.6,Intel," Core i3 6006U ",2.0,4,HDD,500,0,Intel," HD Graphics 520","No OS",1.86,18381,1920,1080,0
12,Apple,Ultrabook,15.4,Intel," Core i7 ",2.8,16,SSD,256,0,AMD," Radeon Pro 555",Mac,1.83,130002,2880,1800,0
13,Dell,Notebook,15.6,Intel," Core i3 6006U ",2.0,4,SSD,256,0,AMD," Radeon R5 M430",Windows,2.20,26581,1920,1080,0
14,Apple,Ultrabook,12.0,Intel," Core M m3 ",1.2,8,SSD,256,0,Intel," HD Graphics 615",Mac,0.92,67261,2304,1440,0
15,Apple,Ultrabook,13.3,Intel," Core i5 ",2.3,8,SSD,256,0,Intel," Iris Plus Graphics 640",Mac,1.37,80908,2560,1600,0
16,Dell,Notebook,15.6,Intel," Core i7 7500U ",2.7,8,SSD,256,0,AMD," Radeon R5 M430",Windows,2.20,39694,1920,1080,0
17,Apple,Ultrabook,15.4,Intel," Core i7 ",2.9,16,SSD,512,0,AMD," Radeon Pro 560",Mac,1.83,152274,2880,1800,0
18,Lenovo,Notebook,15.6,Intel," Core i3 7100U ",2.4,8,HDD,1024,0,Nvidia," GeForce 940MX","No OS",2.20,26587,1920,1080,0
19,Dell,Ultrabook,13.3,Intel," Core i5 8250U ",1.6,8,SSD,128,0,Intel," UHD Graphics 620",Windows,1.22,52161,1920,1080,1
21,Lenovo,Gaming,15.6,Intel," Core i5 7300HQ ",2.5,8,Hybrid,128,1024,Nvidia," GeForce GTX 1050",Windows,2.50,53227,1920,1080,0
22,HP,Notebook,15.6,AMD," E-Series E2-9000e ",1.5,4,HDD,500,0,AMD," Radeon R2","No OS",1.86,13746,1366,768,0
23,Dell,"2 in 1 Convertible",13.3,Intel," Core i5 8250U ",1.6,8,SSD,256,0,Intel," UHD Graphics 620",Windows,1.62,43636,1920,1080,1
24,HP,Ultrabook,15.6,Intel," Core i7 8550U ",1.8,8,SSD,256,0,Intel," HD Graphics 620",Windows,1.91,35112,1920,1080,0
25,Dell,Notebook,15.6,Intel," Core i3 6006U ",2.0,4,HDD,1024,0,Intel," HD Graphics 520",Windows,2.30,22305,1366,768,0
26,Apple,Ultrabook,13.3,Intel," Core i5 ",1.6,8,"Flash Storage",128,0,Intel," HD Graphics 6000",Mac,1.35,58555,1440,900,0
27,Dell,Notebook,15.6,Intel," Core i5 8250U ",1.6,8,SSD,256,0,AMD," Radeon 530",Windows,2.20,42624,1920,1080,0
28,Dell,Ultrabook,15.6,Intel," Core i7 8650U ",1.9,8,SSD,256,256,Intel," UHD Graphics 620",Windows,1.88,69157,1920,1080,0
29,HP,Notebook,17.3,Intel," Core i5 8250U ",1.6,8,HDD,1024,0,Nvidia," GeForce 930MX",Windows,2.50,47739,1920,1080,0
30,Chuwi,Notebook,15.6,Intel," Atom x5-Z8300 ",1.4,4,"Flash Storage",64,0,Intel," HD Graphics",Windows,1.89,13053,1920,1080,0
31,Asus,Notebook,14.0,AMD," E-Series E2-6110 ",1.5,2,"Flash Storage",32,0,AMD," Radeon R2",Windows,1.65,10603,1366,768,0
32,HP,Notebook,17.3,AMD," A6-Series 9220 ",2.5,4,HDD,500,0,AMD," Radeon 530",Windows,2.71,23390,1920,1080,0
33,Dell,Ultrabook,13.3,Intel," Core i7 8550U ",1.8,16,SSD,512,0,Intel," UHD Graphics 620",Windows,1.20,99580,3200,1800,1
34,Apple,Ultrabook,13.3,Intel," Core i5 ",1.6,8,"Flash Storage",256,0,Intel," HD Graphics 6000",Mac,1.35,53173,1440,900,0
35,Lenovo,Notebook,14.0,Intel," Celeron Dual Core N3350 ",1.1,4,"Flash Storage",64,0,Intel," HD Graphics 500",Windows,1.44,13267,1366,768,0
36,Acer,Notebook,15.6,Intel," Core i3 7130U ",2.7,4,HDD,1024,0,Intel," HD Graphics 620",Linux,2.10,19554,1366,768,0
37,Dell,Notebook,17.3,Intel," Core i5 8250U ",1.6,8,Hybrid,128,1024,AMD," Radeon 530",Windows,2.80,52161,1920,1080,0
38,HP,Notebook,15.6,Intel," Core i5 7200U ",2.5,4,HDD,1024,0,Intel," HD Graphics 620",Windows,1.86,26037,1366,768,0
39,HP,Notebook,15.6,Intel," Core i5 8250U ",1.6,8,SSD,256,0,Nvidia," GeForce 930MX ",Windows,2.10,46833,1920,1080,0
40,Asus,Notebook,15.6,Intel," Core i3 6006U ",2.0,4,HDD,1024,0,Intel," HD Graphics 620",Linux,2.00,20726,1920,1080,0
41,Dell,Gaming,15.6,Intel," Core i7 7700HQ ",2.8,16,Hybrid,256,1024,Nvidia," GeForce GTX 1060",Windows,2.65,79867,1920,1080,0
42,Asus,Notebook,15.6,Intel," Core i5 7200U ",2.5,8,HDD,1024,0,Nvidia," GeForce 940MX",Linux,2.30,27865,1366,768,0
43,Acer,Notebook,15.6,Intel," Core i5 8250U ",1.6,4,SSD,256,0,Intel," UHD Graphics 620",Windows,2.20,36337,1920,1080,0
44,Dell,"2 in 1 Convertible",17.3,Intel," Core i5 8250U ",1.6,12,HDD,1024,0,Nvidia," GeForce 150MX",Windows,2.77,53227,1920,1080,1
45,Apple,Ultrabook,13.3,Intel," Core i5 ",2.0,8,SSD,256,0,Intel," Iris Graphics 540",Mac,1.37,75604,2560,1600,0
